//Starting Program
Trial: 1 1
Trial Type 1
Lick 225866
Lick 225967
Lick 226058
Lick 226159
Lick 226210
Lick 226311
Lick 226412
Lick 226478
Lick 226580
Lick 226681
Lick 226782
Lick 226883
Lick 226984
Lick 227085
Lick 227178
Lick 227279
Lick 227380
Lick 227481
Lick 227582
Lick 227596
Lick 227697
Lick 227798
Lick 227899
Lick 228000
Lick 228046
Lick 228147
Lick 228219
Lick 228320
Lick 228405
Lick 228511
Lick 228612
Lick 228670
Lick 228771
Lick 228872
Lick 229021
Lick 229122
Lick 229564
Lick 229665
Trial: 12 237024
Trial Type 2
On 239024
RPoke 239179
Off 240524
Lick 241212
Lick 241313
Lick 241411
Lick 241602
Lick 242380
Lick 242430
Lick 242655
Reward 243027
Lick 243590
Lick 243660
Lick 243761
Lick 243862
Lick 243963
ITI 244027
Lick 244064
Lick 244165
Lick 244267
Lick 244368
Lick 244469
Lick 244570
Lick 244671
Lick 244772
Lick 244873
Lick 244974
Lick 245075
Lick 245176
Lick 245277
Lick 245378
Lick 245479
Lick 245580
Lick 245681
Lick 245782
Lick 245883
Lick 245984
Lick 246085
Lick 246187
Lick 246288
Lick 246389
Lick 246490
Lick 246591
Lick 246692
Lick 246793
Lick 246894
Lick 246995
Lick 247096
Lick 247197
Lick 247298
Lick 247399
Lick 247500
Lick 247601
Lick 247680
Lick 247781
Lick 247882
Lick 247983
Lick 248084
Lick 248185
Lick 248286
Lick 248387
Lick 248488
Lick 248589
Lick 248690
Lick 248791
Lick 248892
Lick 249219
Lick 249281
Lick 249382
Lick 249483
Lick 249584
Lick 249686
Lick 249787
RPoke 254270
RPoke 254674
Lick 262171
Trial: 13 264027
Trial Type 2
On 266027
RPoke 266358
Off 267527
Lick 268288
Lick 268597
Lick 268754
Lick 269252
Lick 269412
Lick 269607
Lick 269678
Lick 269963
Reward 270030
Lick 270223
Lick 270325
Lick 270426
Lick 270527
Lick 270628
Lick 270729
Lick 270830
Lick 270928
Lick 271029
ITI 271030
Lick 271130
Lick 271232
Lick 271333
Lick 271434
Lick 271535
Lick 271636
Lick 271737
Lick 271838
Lick 271939
Lick 272040
Lick 272141
Lick 272242
Lick 272343
Lick 272444
Lick 272545
Lick 272646
Lick 272747
Lick 272848
Lick 272949
Lick 273050
Lick 273152
Lick 273253
Lick 273354
Lick 273455
Lick 273556
Lick 273657
Lick 273758
Lick 273859
Lick 273960
Lick 274061
Lick 274162
Lick 274263
Lick 274364
Lick 274445
Lick 274688
Lick 274789
Lick 274890
Lick 274991
Lick 275092
Lick 275193
Lick 275294
Lick 275395
Lick 275496
Lick 275639
Lick 275777
Lick 275878
Lick 275979
Lick 276080
Lick 276182
Lick 276283
Lick 276384
Lick 276485
Lick 276586
Lick 276687
Lick 276788
Lick 276889
Lick 276990
Lick 277091
Lick 285018
Trial: 14 291030
Trial Type 2
RPoke 292733
On 293030
RPoke 294065
Off 294530
Lick 296390
Lick 296458
Lick 296560
Lick 296651
Lick 297021
Reward 297032
Lick 297335
Lick 297437
Lick 297484
Lick 297585
Lick 297686
Lick 297787
Lick 297888
Lick 297989
ITI 298032
Lick 298090
Lick 298191
Lick 298292
Lick 298393
Lick 298494
Lick 298595
Lick 298696
Lick 298797
Lick 298898
Lick 298999
Lick 299100
Lick 299201
Lick 299302
Lick 299403
Lick 299504
Lick 299606
Lick 299707
Lick 299808
Lick 299909
Lick 300010
Lick 300111
Lick 300212
Lick 300313
Lick 300414
Lick 300515
Lick 300616
Lick 300717
Lick 300818
Lick 300919
Lick 301020
Lick 301121
Lick 301222
Lick 301323
Lick 301424
Trial: 15 306032
Trial Type 2
On 308032
Lick 309036
Lick 309400
Off 309532
RPoke 310994
RPoke 312603
ITI 313033
RPoke 320413
Lick 322063
Lick 322159
Lick 322461
Lick 322882
Lick 323053
Lick 323205
Lick 323495
Lick 323833
Lick 323945
Lick 324088
RPoke 330315
RPoke 331479
RPoke 331515
Lick 333005
Trial: 16 333033
Trial Type 2
Lick 333117
Lick 333322
Lick 333722
Lick 333833
Lick 334032
Lick 334177
Lick 334296
Lick 334487
Lick 334816
Lick 334908
On 335033
Lick 335139
Lick 335260
Lick 335324
Lick 335509
Lick 335729
Lick 335767
Lick 336119
Off 336533
ITI 340034
Trial: 17 352034
Trial Type 2
On 354034
Lick 354077
Lick 354330
Off 355534
RPoke 356357
Lick 357818
Lick 357918
Reward 358036
Lick 358075
Lick 358146
Lick 358247
Lick 358348
Lick 358378
Lick 358480
Lick 358581
Lick 358682
Lick 358784
Lick 358885
Lick 358986
ITI 359036
Lick 359087
Lick 359188
Lick 359289
Lick 359404
Lick 359505
Lick 359615
Lick 359716
Lick 359817
Lick 359918
Lick 360019
Lick 360120
Lick 360221
Lick 360322
Lick 360423
Lick 360524
Lick 360625
Lick 360726
Lick 360827
Lick 360928
Lick 361029
Lick 361131
Lick 361232
Lick 361333
Lick 361434
Lick 361535
Lick 361636
Lick 361737
Lick 361838
Lick 361939
Lick 362040
Lick 362141
Lick 362242
Lick 362343
Lick 362444
Lick 362545
Lick 362646
Lick 362747
Lick 362848
Lick 362949
Lick 363051
Lick 363152
Lick 363253
Lick 363354
Lick 363485
Lick 363586
Lick 363687
Lick 363788
RPoke 375556
RPoke 377480
RPoke 377620
RPoke 377711
RPoke 378060
Trial: 18 379036
Trial Type 2
On 381036
Off 382536
RPoke 385603
ITI 386037
RPoke 390629
RPoke 391178
Trial: 19 394037
Trial Type 2
Lick 394245
Lick 394296
On 396037
RPoke 396258
Off 397537
Lick 397977
Lick 398827
Lick 399491
Lick 399629
Lick 399866
Reward 400040
Lick 400097
Lick 400113
Lick 400222
Lick 400229
Lick 400306
Lick 400406
Lick 400640
Lick 400680
Lick 400781
Lick 400882
Lick 400983
ITI 401040
Lick 401084
Lick 401171
Lick 401288
Lick 401364
Lick 401467
Lick 401589
Lick 401704
Lick 401805
Lick 401906
Lick 402007
Lick 402108
Lick 402209
Lick 402310
Lick 402411
Lick 402512
Lick 402613
Lick 402714
Lick 402816
Lick 402917
Lick 403018
Lick 403119
Lick 403220
Lick 403321
Lick 403422
Lick 403523
Lick 403624
Lick 403725
Lick 403826
Lick 403927
Lick 404028
Lick 404129
Lick 404230
Lick 404331
Lick 404432
Lick 404533
Lick 404634
Lick 404736
Lick 404837
Lick 404938
Lick 405039
Lick 405140
Lick 405241
Lick 405342
Lick 405443
Lick 405544
Lick 405645
Lick 405746
Lick 405847
Lick 405948
Lick 406049
Lick 406150
Lick 406251
Lick 406352
Lick 406453
Lick 406554
Lick 406656
Lick 406757
Lick 406858
Lick 406959
Lick 407060
Lick 407161
Lick 407262
Lick 407363
Lick 407464
Lick 407565
Lick 407666
Lick 408253
RPoke 412778
RPoke 413068
Trial: 20 417040
Trial Type 1
On 419040
RPoke 419352
RPoke 420070
Off 420540
Lick 421423
Lick 421471
Lick 421603
Lick 421766
Lick 421911
Lick 422310
Lick 422394
Lick 422727
Reward 423042
Lick 423206
Lick 423254
Lick 423355
