//Starting Program
Trial: 1 1
Trial Type 2
On 2001
RPoke 3306
Off 3501
Lick 5323
Lick 5752
Reward 6004
Lick 6111
Lick 6208
Lick 6343
Lick 6444
Lick 6545
Lick 6646
Lick 6747
Lick 6848
Lick 6949
ITI 7004
Lick 7050
Lick 7151
Lick 7252
Lick 7353
Lick 7454
Lick 7555
Lick 7656
Lick 7757
Lick 7944
Lick 8046
Lick 8147
Lick 8248
Lick 8349
Lick 8450
Lick 8551
Lick 8652
Lick 8753
Lick 8854
Lick 8955
Lick 9056
Lick 9157
Lick 9259
Lick 9360
Lick 9461
Lick 9562
Lick 9663
Lick 9764
Lick 9865
Lick 9966
Lick 10067
Lick 10168
Lick 10269
Lick 10370
Lick 10471
Lick 10572
Lick 10955
Lick 11056
Lick 11157
Lick 11258
Lick 11359
Lick 11460
Lick 11561
Trial: 2 19004
Trial Type 1
On 21004
RPoke 21544
Off 22504
Lick 22853
Lick 23185
Lick 23246
Lick 23704
Lick 23905
Lick 24045
Lick 24272
Lick 24461
Reward 25006
Lick 25043
Lick 25153
Lick 25254
Lick 25355
Lick 25456
Lick 25558
Lick 25659
Lick 25760
Lick 25861
Lick 25962
ITI 26006
Lick 26063
Lick 26164
Lick 26265
Lick 26366
Lick 26467
Lick 26568
Lick 26669
Lick 26770
Lick 26871
Lick 26972
Lick 27073
Trial: 3 38006
Trial Type 1
On 40006
RPoke 40368
Off 41506
Lick 42767
Lick 42953
Lick 43295
Lick 43597
Lick 43692
Lick 43880
Reward 44008
Lick 44464
Lick 44521
Lick 44611
Lick 44739
Lick 44839
Lick 44949
ITI 45008
Lick 45045
Lick 45159
Lick 45272
Lick 45390
Lick 45507
Lick 45596
Lick 45697
Lick 45798
Lick 45836
Lick 45956
Lick 46087
Lick 46253
Lick 46480
Trial: 4 53008
Trial Type 2
On 55008
RPoke 55457
Off 56508
Lick 57820
Lick 58412
Lick 58858
Reward 59011
Lick 59059
Lick 59128
Lick 59203
Lick 59355
Lick 59474
Lick 59543
Lick 59644
Lick 59785
Lick 59880
Lick 59995
ITI 60011
Lick 60107
Lick 60199
Lick 60304
Lick 60413
Lick 60517
Lick 60624
Lick 60725
Lick 60826
Lick 60928
Lick 61029
Lick 61130
Lick 61231
Lick 61332
Lick 61433
Lick 61534
Lick 61635
Lick 61779
Lick 61880
Lick 61981
Lick 62082
Lick 62183
Lick 62284
Lick 62385
Lick 62486
Lick 62587
Lick 62688
Lick 62789
Lick 62832
Lick 62935
Lick 63037
Lick 63138
Lick 63239
Lick 63443
Lick 63544
Lick 63645
Lick 63746
Lick 63847
Lick 63948
Lick 64049
Lick 64150
Lick 64251
Lick 64352
Lick 64453
Lick 64555
Lick 64656
Lick 64757
Lick 64858
Lick 64959
Lick 65060
Lick 65161
Lick 65262
Lick 65363
Lick 65464
Lick 65565
Lick 65783
Lick 65885
Lick 65986
Lick 66087
Lick 66188
Lick 66289
Lick 66390
Lick 66491
Lick 66592
Lick 66693
Lick 66794
Lick 66895
Lick 66996
Trial: 5 76011
Trial Type 2
On 78011
RPoke 78647
Off 79511
Lick 80738
Lick 81798
Reward 82015
Lick 82049
Lick 82149
Lick 82530
Lick 82620
Lick 82722
Lick 82835
ITI 83015
Lick 83062
Lick 83271
Lick 83384
Lick 83512
Lick 83609
Lick 83707
Lick 83830
Lick 83930
Lick 84024
Lick 84123
Lick 84242
Lick 84349
Lick 84473
Lick 84578
Lick 84679
Lick 84780
Lick 84881
Lick 84982
Lick 85083
Lick 85304
Lick 85391
Lick 85515
Lick 85563
Lick 85664
Lick 85765
Lick 85866
Lick 85967
Lick 86068
Lick 86169
Lick 86270
Lick 86371
Lick 86472
Lick 86573
Lick 86674
Lick 86775
Lick 86876
Lick 86977
Lick 87078
Lick 87179
Lick 87280
Lick 87349
Lick 87446
Lick 87547
Lick 87648
Lick 87749
Lick 87851
Lick 87952
Lick 88053
Trial: 6 91015
Trial Type 2
RPoke 92822
On 93015
Off 94515
Lick 96501
Lick 96887
Reward 97017
Lick 97222
Lick 97314
Lick 97394
Lick 97484
Lick 97581
Lick 97677
Lick 97777
Lick 97914
ITI 98017
Lick 98210
Lick 98311
Lick 98412
Lick 98513
Lick 98614
Lick 98715
Lick 98816
Lick 98917
Lick 99018
Lick 99119
Lick 99220
Lick 99321
Trial: 7 110017
Trial Type 2
On 112017
RPoke 112220
Off 113517
RPoke 113951
Lick 115120
Lick 115919
Reward 116020
Lick 116177
Lick 116260
Lick 116362
Lick 116463
Lick 116564
Lick 116665
Lick 116766
Lick 116867
Lick 116968
ITI 117020
Lick 117069
Lick 117170
Lick 117271
Lick 117372
Lick 117473
Lick 117574
Lick 117675
Lick 117776
Lick 117877
Lick 117978
Lick 118079
Lick 118180
Lick 118281
RPoke 124727
RPoke 129277
RPoke 129586
Trial: 8 133020
Trial Type 1
On 135020
RPoke 135552
Off 136520
Reward 139022
Lick 139196
Lick 139258
Lick 139415
Lick 139508
Lick 139595
Lick 139691
Lick 139788
Lick 139889
Lick 139998
ITI 140022
Lick 140100
Lick 140207
Lick 140309
Lick 140418
Lick 140525
Lick 140617
Lick 140715
Lick 140817
Lick 140918
Lick 141019
Lick 141120
Lick 141221
Lick 141322
Lick 141423
Lick 141524
Lick 141625
Lick 141726
Lick 141827
Lick 141928
Lick 142029
Lick 142130
Lick 142231
Lick 142332
Lick 142433
Lick 142534
Lick 142635
Lick 142736
Lick 142837
Lick 142938
Lick 143039
Lick 143140
Lick 143241
Lick 143342
Lick 143443
Lick 143544
Lick 143645
Lick 143746
RPoke 150561
RPoke 151149
Trial: 9 152022
Trial Type 2
On 154022
RPoke 155039
Off 155522
Lick 157297
Lick 157842
Lick 157965
Reward 158025
Lick 158402
Lick 158503
Lick 158604
Lick 158705
Lick 158806
Lick 158907
Lick 159008
ITI 159025
Lick 159109
Lick 159210
Lick 159311
Lick 159412
Lick 159513
Lick 159614
Lick 159715
Lick 159816
Lick 159917
Lick 160018
Lick 160119
Lick 160220
Lick 160321
Lick 160419
Lick 160480
Lick 160581
Lick 160683
Lick 160784
Lick 160885
Lick 160986
Lick 161087
Lick 161188
Lick 161317
Lick 161419
Lick 161520
Lick 161622
Lick 161723
Lick 161824
Lick 161925
Lick 162026
Lick 162127
Lick 162228
Lick 162329
Lick 162430
Lick 162531
Lick 162632
Lick 162824
Lick 162916
Lick 163018
Lick 163119
Lick 163220
Lick 163321
Lick 163422
Lick 163523
Lick 163624
Lick 163725
Lick 163826
Lick 163927
Lick 164028
Lick 164129
Lick 164230
Lick 164331
Lick 164432
Lick 164533
Lick 164851
Lick 164952
Lick 165053
Lick 165154
Lick 165255
Lick 165356
Lick 165457
Lick 165558
Trial: 10 171025
Trial Type 2
On 173025
RPoke 173134
Off 174525
Lick 175282
Lick 175381
Lick 175415
Reward 177028
Lick 177354
Lick 177455
Lick 177556
Lick 177657
Lick 177758
Lick 177859
Lick 177960
ITI 178028
Lick 178061
Lick 178162
Lick 178263
Lick 178364
Lick 178454
Lick 178822
Lick 178923
Lick 179024
Lick 179125
Lick 179229
Lick 179439
Lick 179520
Lick 179622
Lick 179723
Lick 179824
Lick 179926
Lick 180027
Lick 180116
Lick 180217
Lick 180318
Lick 180419
Lick 180520
Lick 180621
Lick 180722
Lick 180823
Lick 180924
Lick 181025
Lick 181126
Lick 181369
Lick 181468
Lick 181590
Lick 181691
Lick 181792
Lick 181893
Lick 181994
Lick 182095
Lick 182196
Lick 182297
Lick 182398
Lick 182499
Lick 182600
Lick 182701
Lick 182802
Lick 182903
Lick 183004
Lick 183105
Lick 183603
Lick 183704
Lick 183805
Lick 183906
Lick 184007
Lick 184108
Lick 184209
Lick 184310
Lick 184411
Lick 184512
Lick 184613
Lick 184714
Lick 184815
Trial: 11 186028
Trial Type 2
On 188028
Off 189528
ITI 193029
RPoke 198885
Trial: 12 213029
Trial Type 1
On 215029
RPoke 215405
RPoke 215894
Off 216529
Lick 218273
Lick 218747
Reward 219031
Lick 219310
Lick 219410
Lick 219513
Lick 219620
Lick 219706
Lick 219801
Lick 219904
Lick 220009
ITI 220032
Lick 220104
Lick 220220
Lick 220326
Lick 220396
Lick 220498
Lick 220599
Lick 220700
Lick 220801
Lick 220902
Lick 221003
Lick 221104
Lick 221205
Lick 221306
Lick 221407
Lick 221508
Lick 221609
Lick 221710
Lick 221811
Lick 221912
Lick 222013
Lick 222345
Lick 222447
Lick 222548
Lick 222649
Lick 222750
Lick 222851
Lick 222952
Lick 223053
Lick 223154
Lick 223255
Lick 223356
Lick 223457
RPoke 231053
RPoke 231091
RPoke 235517
Trial: 13 236032
Trial Type 1
On 238032
RPoke 238267
Off 239532
Lick 240542
Lick 241052
Lick 241263
Lick 241366
Lick 241822
Lick 241857
Lick 241928
Reward 242034
Lick 242598
Lick 242691
Lick 242785
Lick 242879
Lick 242983
ITI 243034
Lick 243096
Lick 243184
Lick 243286
Lick 243380
Lick 243505
Lick 243601
Lick 243712
Lick 243820
Lick 243922
Lick 244023
Lick 244124
Lick 244225
Lick 244326
Lick 244427
Lick 244528
Lick 244629
Lick 244730
Lick 244831
Lick 244932
Lick 245033
Lick 245134
Lick 245235
Lick 245336
Lick 245437
Lick 245538
Lick 245639
Lick 245740
Lick 245841
Lick 245942
Lick 246043
Lick 246144
Lick 246245
Lick 246346
Lick 246447
Lick 246548
Lick 246649
Lick 246750
Lick 246851
Lick 246952
Lick 247053
Lick 247154
Lick 247255
Trial: 14 251034
Trial Type 1
On 253034
Off 254534
ITI 258035
RPoke 266114
RPoke 268577
RPoke 272605
Trial: 15 278035
Trial Type 2
On 280035
Off 281535
ITI 285036
Trial: 16 297036
Trial Type 2
On 299036
Off 300536
ITI 304037
Trial: 17 316037
Trial Type 2
On 318038
RPoke 318878
Off 319538
RPoke 319651
RPoke 320184
Lick 321449
Lick 321550
Reward 322040
Lick 322267
Lick 322368
Lick 322469
Lick 322570
Lick 322671
Lick 322772
Lick 322873
Lick 322974
ITI 323040
Lick 323075
Lick 323176
Lick 323277
Lick 323378
Lick 323479
Lick 323580
Lick 323681
Lick 323782
Lick 323883
Lick 323984
Lick 324085
Lick 324170
Lick 324271
Lick 324372
Lick 324473
Lick 324574
Lick 324675
Lick 324776
Lick 324877
Lick 324978
Lick 325079
Lick 325180
Lick 325281
Lick 325382
Lick 325483
Lick 325584
Lick 325685
Lick 325735
Lick 326719
RPoke 332769
Trial: 18 339040
Trial Type 1
On 341040
RPoke 341452
Off 342540
Lick 344941
Reward 345042
Lick 345644
Lick 345736
Lick 345839
Lick 345964
ITI 346042
Lick 346050
Lick 346155
Lick 346278
Lick 346338
Lick 346439
Lick 346540
Lick 346615
Lick 346716
Lick 346817
Lick 346918
Lick 347019
Lick 347120
Lick 347222
Lick 347323
Lick 347424
Lick 347525
Lick 347626
Lick 347727
Lick 347828
Lick 347929
Lick 348030
Lick 348131
Lick 348232
Lick 348333
Lick 348434
Lick 348535
Lick 348636
Lick 348737
Trial: 19 354042
Trial Type 2
On 356042
RPoke 356508
RPoke 356887
Off 357542
Lick 358715
Reward 360045
Lick 360259
Lick 360482
Lick 360594
Lick 360730
Lick 360832
Lick 360942
ITI 361046
Lick 361046
Lick 361151
Lick 361267
Lick 361371
Lick 361479
Lick 361591
Lick 361692
Lick 361793
Lick 361903
Lick 362005
Lick 362104
Lick 362166
Lick 362514
Lick 362616
Lick 362717
Lick 362818
Lick 362946
Lick 363047
Lick 363151
Lick 363249
Lick 363336
Lick 363437
Lick 363644
Lick 363723
Lick 363825
Lick 363926
Lick 364027
Lick 364128
Lick 364229
Lick 364331
Lick 364444
Lick 364562
Lick 364632
Lick 364733
Lick 364834
Lick 364935
Lick 365036
Lick 365137
Lick 365238
