//Starting Program
Trial: 1 1
Trial Type 2
On 2001
Off 3501
RPoke 3883
RPoke 5433
Reward 6003
ITI 7003
Lick 7430
Lick 7532
Lick 7633
Lick 7734
Lick 7835
Lick 7988
Lick 8064
Lick 8166
Lick 8267
Lick 8368
Lick 8469
Lick 8570
Lick 8671
Lick 8772
Lick 8873
Lick 8974
Lick 9075
Lick 9176
Lick 9277
Lick 9378
Lick 9479
Lick 9580
Lick 9681
Lick 9782
Lick 9883
Lick 9984
Lick 10085
Lick 10102
Lick 10203
Lick 10304
Lick 10405
Lick 10506
Lick 10607
Lick 10708
Lick 10809
Lick 10910
Lick 11011
Lick 11112
Lick 11213
Lick 11314
Trial: 2 23003
Trial Type 2
On 25003
Off 26503
ITI 30004
Trial: 3 42004
Trial Type 1
On 44004
Lick 44106
Off 45504
ITI 49005
Trial: 4 61005
Trial Type 2
On 63005
Off 64505
ITI 68006
RPoke 76317
RPoke 77091
Lick 79001
Lick 79398
Lick 79443
Lick 79856
Lick 80421
Trial: 5 88006
Trial Type 2
On 90006
Off 91506
ITI 95007
RPoke 97863
RPoke 98047
Lick 104879
Lick 104981
Lick 105043
RPoke 109707
Trial: 6 115007
Trial Type 2
On 117007
Off 118507
RPoke 119905
ITI 122008
Lick 124101
Trial: 7 134008
Trial Type 2
RPoke 134044
RPoke 134184
On 136008
RPoke 137491
Off 137508
Lick 138927
Reward 140010
Lick 140730
ITI 141010
Lick 141057
Lick 141191
Lick 141308
Lick 141511
Lick 141599
Lick 142662
Lick 143099
Lick 143197
Lick 143270
Lick 143373
Lick 143488
Lick 143597
Lick 143718
Lick 143828
Lick 143941
Lick 144014
Lick 144149
Lick 144274
Lick 144393
Lick 144520
Lick 144626
Lick 144726
Lick 144845
Lick 144957
Lick 145078
Lick 145202
Lick 145329
Lick 145460
Lick 145584
Lick 145690
Lick 145792
Lick 145804
Lick 145905
Lick 146006
Lick 146101
Lick 146203
Lick 146285
Lick 146443
Lick 146569
Lick 146704
Lick 146805
Lick 146906
Lick 146958
Lick 147059
Lick 147081
Lick 147101
Lick 147202
Lick 147246
Lick 147373
Lick 147475
Lick 147496
Lick 147597
