//Starting Program
Trial: 1 1
Trial Type 2
Lick 268396
Lick 268497
Lick 268598
Lick 268707
Lick 268820
Lick 268922
Lick 269023
Lick 269124
Lick 269225
Lick 269326
Lick 269427
Lick 269528
Lick 269629
Lick 269730
Lick 269831
Lick 269932
Lick 269963
Lick 270064
Lick 270133
Lick 270500
Lick 270602
Lick 270703
Lick 270804
Lick 270905
Lick 271006
Lick 271107
Lick 271208
Lick 271309
Lick 271410
Lick 271511
Lick 271612
Lick 271713
Lick 271814
Lick 271915
Lick 272016
Lick 272117
Lick 272218
Lick 272319
Lick 272420
Lick 272521
Lick 272622
Lick 272723
Trial: 14 275028
Trial Type 2
On 277028
RPoke 277323
Off 278528
Lick 279261
Lick 279288
Lick 279389
Lick 279733
Lick 279835
Lick 279934
Lick 280037
Lick 280138
Lick 280294
Lick 280395
Lick 280496
Lick 280597
Lick 280697
Reward 281031
Lick 281082
Lick 281412
Lick 281513
Lick 281614
Lick 281715
Lick 281816
Lick 281917
Lick 282018
ITI 282031
Lick 282119
Lick 282220
Lick 282321
Lick 282467
Lick 282568
Lick 282669
Lick 282770
Lick 282871
Lick 282972
Lick 283073
Lick 283174
Lick 283275
Lick 283376
Lick 283478
Lick 283579
Lick 283680
Lick 283781
Lick 283882
Lick 283983
Lick 284084
Lick 284185
Lick 284286
Lick 284387
Lick 284488
Lick 284557
Lick 284662
Lick 284764
Lick 284865
Lick 284966
Lick 285067
Lick 285168
Lick 285270
Lick 285371
Lick 285472
Lick 285573
Lick 285674
Lick 285775
Lick 285876
Lick 285977
Lick 286078
Lick 286179
Lick 286280
Lick 286381
Lick 286482
Lick 286583
Lick 286684
Lick 286785
Lick 286886
Lick 286987
Lick 287088
Lick 287190
Lick 287291
Lick 287392
Lick 287493
Lick 287594
Lick 287695
Lick 287796
Lick 287897
Lick 287998
Lick 288099
Lick 288200
Lick 288301
Lick 288577
Lick 288678
Lick 288779
Lick 288880
Lick 288982
Lick 289083
Lick 289184
Lick 289285
Lick 289386
Lick 289487
Trial: 15 298031
Trial Type 1
On 300032
RPoke 300228
Off 301532
Lick 302556
Lick 302658
Lick 302759
Lick 302871
Lick 303143
Lick 303245
Lick 303346
Lick 303447
Lick 303548
Lick 303649
Lick 303750
Reward 304034
Lick 304404
Lick 304505
Lick 304606
Lick 304707
Lick 304808
Lick 304909
Lick 305010
ITI 305034
Lick 305111
Lick 305212
Lick 305313
Lick 305414
Lick 305515
Lick 305616
Lick 305717
Lick 305818
Lick 305920
Lick 306021
Lick 306122
Lick 306223
Lick 306324
Lick 306425
Lick 306526
Lick 306627
Lick 306728
Lick 306829
Lick 306930
Lick 307031
Lick 307132
Lick 307233
Lick 307334
Lick 307435
Lick 307536
Lick 307637
Lick 307738
Lick 307840
Lick 307941
Lick 308042
Lick 308143
Lick 308244
Lick 308345
Lick 308446
Lick 308547
Lick 308648
Lick 308749
Lick 308850
Lick 308951
Lick 309052
Lick 309153
Lick 309254
Lick 309355
Lick 309456
Trial: 16 325035
Trial Type 2
RPoke 326582
On 327035
Off 328535
Lick 330576
Lick 330611
Lick 330712
Lick 330805
Lick 331020
Reward 331037
Lick 331143
Lick 331244
Lick 331345
Lick 331436
Lick 331537
Lick 331638
Lick 331739
Lick 331840
Lick 331941
ITI 332037
Lick 332073
Lick 332177
Lick 332317
Lick 332370
Lick 332472
Lick 332539
Lick 332640
Lick 332741
Lick 332843
Lick 332944
Lick 333045
Lick 333146
Lick 333229
Lick 333351
Lick 333453
Lick 333554
Lick 333655
Lick 333756
Lick 333857
Lick 333958
Lick 334059
Lick 334197
Lick 334299
Lick 334536
Lick 334637
Lick 334738
Lick 334814
Lick 334916
Lick 335017
Lick 335044
Lick 335128
Lick 335229
Lick 336866
Lick 336968
Lick 337069
Trial: 17 352037
Trial Type 1
On 354037
Off 355537
Lick 356786
Lick 356903
Lick 357054
Lick 357114
Lick 357204
Lick 357305
Lick 357445
Lick 357670
Lick 357772
Lick 357873
ITI 359038
Lick 360869
Lick 360970
Lick 361204
RPoke 365884
Trial: 18 375038
Trial Type 2
On 377038
Off 378539
Lick 379869
Lick 379970
Lick 380258
Lick 380389
Lick 380490
Lick 380591
Lick 380692
Lick 381122
Lick 381172
Lick 381704
Lick 381805
ITI 382040
Trial: 19 394040
Trial Type 1
On 396040
Off 397540
Lick 398841
Lick 398942
Lick 399158
Lick 399259
Lick 399547
Lick 400033
Lick 400135
Lick 400350
Lick 400452
Lick 400553
Lick 400667
Lick 400994
ITI 401041
Lick 401096
Trial: 20 409041
Trial Type 1
On 411041
Off 412541
Lick 413894
Lick 413995
Lick 414316
Lick 414359
Lick 414460
Lick 414770
Lick 414871
Lick 415444
Lick 415461
ITI 416043
Lick 416137
Lick 416238
Lick 416394
Lick 416496
Trial: 21 428043
Trial Type 2
On 430043
RPoke 430251
Off 431543
Lick 433952
Lick 434022
Reward 434046
Lick 434279
Lick 434367
Lick 434468
Lick 434569
Lick 434670
Lick 434771
Lick 434872
Lick 434973
ITI 435046
Lick 435074
Lick 435175
Lick 435276
Lick 435377
Lick 435478
Lick 435507
Lick 435661
Lick 435763
Lick 435857
Lick 435949
Lick 436050
Lick 436151
Lick 436252
Lick 436353
Lick 436454
Lick 436555
Lick 436656
Lick 436757
Lick 436858
Lick 436959
Lick 437060
Lick 437094
Lick 437225
Lick 437322
Lick 437424
Lick 437525
Lick 438035
Lick 438141
Lick 438243
Lick 438344
Lick 438445
Lick 438546
Lick 438647
Lick 438748
Lick 438849
Lick 438950
Lick 439051
Lick 439152
Lick 439254
Lick 439355
Lick 439456
Lick 439557
Lick 439658
Lick 439759
Lick 439860
Lick 439961
Lick 440062
Lick 440163
Lick 440264
Lick 440365
Lick 440466
Lick 440567
Lick 440668
Lick 440769
Lick 440870
Lick 440971
Lick 441072
Lick 441174
Lick 441275
Lick 441376
Lick 441477
Lick 441578
Lick 441679
Lick 441780
Lick 441881
Lick 441982
Lick 442083
Trial: 22 447046
Trial Type 2
On 449046
Off 450546
Lick 451606
Lick 451708
Lick 451809
Lick 451910
Lick 452011
Lick 452112
Lick 452213
Lick 452314
Lick 452448
Lick 452549
Lick 453156
Lick 453196
Lick 453586
Lick 453687
Lick 453788
Lick 453889
