//Starting Program
Trial: 1 1
Trial Type 1
On 2001
Off 3501
ITI 7002
RPoke 13923
Lick 17083
Trial: 2 23002
Trial Type 1
On 25003
RPoke 25343
Off 26503
Lick 27099
Lick 27408
Lick 28008
Lick 28173
Lick 28474
Lick 28729
Lick 28901
Lick 28960
Reward 29005
Lick 29030
Lick 29277
Lick 29379
Lick 29493
Lick 29598
Lick 29701
Lick 29814
Lick 29939
ITI 30005
Lick 30032
Lick 30133
Lick 30234
Lick 30336
Lick 30437
Lick 30538
Lick 30639
Lick 30740
Lick 30841
Lick 30942
Lick 31043
Lick 31144
Lick 31245
Lick 31346
Lick 31447
Lick 31548
Lick 31649
Lick 31750
Lick 31851
Lick 31952
Lick 32053
Lick 32154
Lick 32256
Trial: 3 46005
Trial Type 2
On 48005
RPoke 48824
Off 49505
RPoke 49758
Reward 52007
Lick 52360
Lick 52443
Lick 52545
Lick 52647
Lick 52758
Lick 52874
Lick 52970
ITI 53007
Lick 53072
Lick 53173
Lick 53274
Lick 53376
Lick 53477
Lick 53578
Lick 53679
Lick 53780
Lick 53881
Lick 53982
Lick 54083
Lick 54184
RPoke 65030
RPoke 66807
RPoke 67037
Lick 70675
Lick 70776
Trial: 4 73007
Trial Type 1
On 75008
RPoke 75184
RPoke 76438
RPoke 76506
Off 76508
Lick 78278
Lick 78660
Lick 78852
Reward 79010
Lick 79015
Lick 79246
Lick 79335
Lick 79441
Lick 79548
Lick 79659
Lick 79769
Lick 79876
Lick 79980
ITI 80010
Lick 80100
Lick 80201
Lick 80302
Lick 80403
Lick 80504
Lick 80605
Lick 80706
Lick 80807
Lick 80908
Lick 81009
Lick 81110
Lick 81211
Lick 81312
Lick 81413
Lick 81514
Lick 81615
Lick 81716
Lick 81817
Lick 81918
Lick 82019
Lick 82120
Lick 82221
RPoke 91892
RPoke 92152
Trial: 5 96010
Trial Type 2
On 98010
Off 99510
Lick 101276
Lick 101590
Lick 101771
Lick 102027
Lick 102301
Lick 102584
Lick 102852
Lick 102987
ITI 103011
Lick 103192
Lick 103293
Lick 103532
Lick 103746
Lick 103847
Lick 103948
Lick 104047
Lick 104150
Lick 104202
